game_id,season,week,team,def_value_pre,def_value_post
2005_05_CAR_ARI,2005,5,ARI,0.747,-0.183
2005_07_TEN_ARI,2005,7,ARI,-0.183,0.698
2005_08_ARI_DAL,2005,8,ARI,0.698,0.02
2005_09_SEA_ARI,2005,9,ARI,0.02,-0.316
2005_10_ARI_DET,2005,10,ARI,-0.316,-3.595
2005_11_ARI_LAR,2005,11,ARI,-3.595,-4.768
2005_12_JAX_ARI,2005,12,ARI,-4.768,-3.592
2005_13_ARI_SF,2005,13,ARI,-3.592,-2.307
2005_14_WAS_ARI,2005,14,ARI,-2.307,-0.471
2005_15_ARI_HOU,2005,15,ARI,-0.471,-0.608
2005_16_PHI_ARI,2005,16,ARI,-0.608,-0.848
2005_17_ARI_IND,2005,17,ARI,-0.848,-2.894
2006_01_SF_ARI,2006,1,ARI,-1.855,-4.579
2006_02_ARI_SEA,2006,2,ARI,-4.579,-2.115
2006_03_LAR_ARI,2006,3,ARI,-2.115,-4.094
2006_04_ARI_ATL,2006,4,ARI,-4.094,-5.031
2006_05_KC_ARI,2006,5,ARI,-5.031,-7.664
2006_06_CHI_ARI,2006,6,ARI,-7.664,-4.054
2006_07_ARI_OAK,2006,7,ARI,-4.054,-4.131
2006_08_ARI_GB,2006,8,ARI,-4.131,-4.925
2006_10_DAL_ARI,2006,10,ARI,-4.925,-8.742
2006_11_DET_ARI,2006,11,ARI,-8.742,-7.918
2006_12_ARI_MIN,2006,12,ARI,-7.918,-10.609
2006_13_ARI_LAR,2006,13,ARI,-10.609,-9.846
2006_14_SEA_ARI,2006,14,ARI,-9.846,-12.435
2006_15_DEN_ARI,2006,15,ARI,-12.435,-14.522
2006_16_ARI_SF,2006,16,ARI,-14.522,-12.989
2006_17_ARI_LAC,2006,17,ARI,-12.989,-13.547
2007_01_ARI_SF,2007,1,ARI,-8.684,-8.149
2007_02_SEA_ARI,2007,2,ARI,-8.149,-9.852
2007_03_ARI_BAL,2007,3,ARI,-9.852,-10.211
2007_04_PIT_ARI,2007,4,ARI,-10.211,-10.086
2007_05_ARI_LAR,2007,5,ARI,-10.086,-10.604
2007_06_CAR_ARI,2007,6,ARI,-10.604,-11.767
2007_07_ARI_WAS,2007,7,ARI,-11.767,-10.349
2007_09_ARI_TB,2007,9,ARI,-10.349,-9.669
2007_10_DET_ARI,2007,10,ARI,-9.669,-10.261
2007_11_ARI_CIN,2007,11,ARI,-10.261,-9.584
2007_12_SF_ARI,2007,12,ARI,-9.584,-11.907
2007_13_CLE_ARI,2007,13,ARI,-11.907,-12.398
2007_14_ARI_SEA,2007,14,ARI,-12.398,-14.086
2007_15_ARI_NO,2007,15,ARI,-14.086,-15.504
2007_16_ATL_ARI,2007,16,ARI,-15.504,-17.767
2007_17_LAR_ARI,2007,17,ARI,-17.767,-16.372
2008_01_ARI_SF,2008,1,ARI,-10.495,-10.039
2008_02_MIA_ARI,2008,2,ARI,-10.039,-9.483
2008_03_ARI_WAS,2008,3,ARI,-9.483,-10.525
2008_04_ARI_NYJ,2008,4,ARI,-10.525,-12.554
2008_05_BUF_ARI,2008,5,ARI,-12.554,-12.338
2008_06_DAL_ARI,2008,6,ARI,-12.338,-13.861
2008_08_ARI_CAR,2008,8,ARI,-13.861,-14.626
2008_09_ARI_LAR,2008,9,ARI,-14.626,-14.68
2008_10_SF_ARI,2008,10,ARI,-14.68,-15.609
2008_11_ARI_SEA,2008,11,ARI,-15.609,-13.718
2008_12_NYG_ARI,2008,12,ARI,-13.718,-16.29
2008_13_ARI_PHI,2008,13,ARI,-16.29,-18.397
2008_14_LAR_ARI,2008,14,ARI,-18.397,-19.027
2008_15_MIN_ARI,2008,15,ARI,-19.027,-20.215
2008_16_ARI_NE,2008,16,ARI,-20.215,-21.929
2008_17_SEA_ARI,2008,17,ARI,-21.929,-22.294
2008_18_ATL_ARI,2008,18,ARI,-22.294,-21.366
2008_19_ARI_CAR,2008,19,ARI,-21.366,-17.507
2008_20_PHI_ARI,2008,20,ARI,-17.507,-19.45
2008_21_PIT_ARI,2008,21,ARI,-19.45,-19.114
2009_01_SF_ARI,2009,1,ARI,-12.252,-12.398
2009_02_ARI_JAX,2009,2,ARI,-12.398,-11.86
2009_03_IND_ARI,2009,3,ARI,-11.86,-13.967
2009_05_HOU_ARI,2009,5,ARI,-13.967,-16.129
2009_06_ARI_SEA,2009,6,ARI,-16.129,-12.003
2009_07_ARI_NYG,2009,7,ARI,-12.003,-9.151
2009_08_CAR_ARI,2009,8,ARI,-9.151,-9.607
2009_09_ARI_CHI,2009,9,ARI,-9.607,-10.384
2009_10_SEA_ARI,2009,10,ARI,-10.384,-9.611
2009_11_ARI_LAR,2009,11,ARI,-9.611,-8.967
2009_12_ARI_TEN,2009,12,ARI,-8.967,-9.617
2009_13_MIN_ARI,2009,13,ARI,-9.617,-8.994
2009_14_ARI_SF,2009,14,ARI,-8.994,-7.925
2009_15_ARI_DET,2009,15,ARI,-7.925,-6.746
2009_16_LAR_ARI,2009,16,ARI,-6.746,-6.38
2009_17_GB_ARI,2009,17,ARI,-6.38,-8.299
2009_18_GB_ARI,2009,18,ARI,-8.299,-10.484
2009_19_ARI_NO,2009,19,ARI,-10.484,-11.237
2010_01_ARI_LAR,2010,1,ARI,-7.203,-6.868
2010_02_ARI_ATL,2010,2,ARI,-6.868,-8.817
2010_03_OAK_ARI,2010,3,ARI,-8.817,-9.172
2010_04_ARI_LAC,2010,4,ARI,-9.172,-9.582
2010_05_NO_ARI,2010,5,ARI,-9.582,-8.364
2010_07_ARI_SEA,2010,7,ARI,-8.364,-7.133
2010_08_TB_ARI,2010,8,ARI,-7.133,-9.46
2010_09_ARI_MIN,2010,9,ARI,-9.46,-11.941
2010_10_SEA_ARI,2010,10,ARI,-11.941,-14.472
2010_11_ARI_KC,2010,11,ARI,-14.472,-15.114
2010_12_SF_ARI,2010,12,ARI,-15.114,-14.995
2010_13_LAR_ARI,2010,13,ARI,-14.995,-14.15
2010_14_DEN_ARI,2010,14,ARI,-14.15,-11.662
2010_15_ARI_CAR,2010,15,ARI,-11.662,-12.371
2010_16_DAL_ARI,2010,16,ARI,-12.371,-9.94
2010_17_ARI_SF,2010,17,ARI,-9.94,-10.488
2011_01_CAR_ARI,2011,1,ARI,-6.723,-9.494
2011_02_ARI_WAS,2011,2,ARI,-9.494,-9.491
2011_03_ARI_SEA,2011,3,ARI,-9.491,-8.63
2011_04_NYG_ARI,2011,4,ARI,-8.63,-10.883
2011_05_ARI_MIN,2011,5,ARI,-10.883,-11.027
2011_07_PIT_ARI,2011,7,ARI,-11.027,-13.575
2011_08_ARI_BAL,2011,8,ARI,-13.575,-13.29
2011_09_LAR_ARI,2011,9,ARI,-13.29,-12.98
2011_10_ARI_PHI,2011,10,ARI,-12.98,-10.517
2011_11_ARI_SF,2011,11,ARI,-10.517,-11.046
2011_12_ARI_LAR,2011,12,ARI,-11.046,-11.722
2011_13_DAL_ARI,2011,13,ARI,-11.722,-11.331
2011_14_SF_ARI,2011,14,ARI,-11.331,-9.828
2011_15_CLE_ARI,2011,15,ARI,-9.828,-10.945
2011_16_ARI_CIN,2011,16,ARI,-10.945,-11.53
2011_17_SEA_ARI,2011,17,ARI,-11.53,-11.441
2012_01_SEA_ARI,2012,1,ARI,-7.333,-7.298
2012_02_ARI_NE,2012,2,ARI,-7.298,-5.674
2012_03_PHI_ARI,2012,3,ARI,-5.674,-3.936
2012_04_MIA_ARI,2012,4,ARI,-3.936,-5.256
2012_05_ARI_LAR,2012,5,ARI,-5.256,-5.049
2012_06_BUF_ARI,2012,6,ARI,-5.049,-4.753
2012_07_ARI_MIN,2012,7,ARI,-4.753,-2.444
2012_08_SF_ARI,2012,8,ARI,-2.444,-4.733
2012_09_ARI_GB,2012,9,ARI,-4.733,-4.171
2012_11_ARI_ATL,2012,11,ARI,-4.171,-1.455
2012_12_LAR_ARI,2012,12,ARI,-1.455,-1.777
2012_13_ARI_NYJ,2012,13,ARI,-1.777,1.21
2012_14_ARI_SEA,2012,14,ARI,1.21,1.996
2012_15_DET_ARI,2012,15,ARI,1.996,4.575
2012_16_CHI_ARI,2012,16,ARI,4.575,3.691
2012_17_ARI_SF,2012,17,ARI,3.691,2.648
2013_01_ARI_LAR,2013,1,ARI,1.698,-0.79
2013_02_DET_ARI,2013,2,ARI,-0.79,-2.233
2013_03_ARI_NO,2013,3,ARI,-2.233,-3.425
2013_04_ARI_TB,2013,4,ARI,-3.425,-2.332
2013_05_CAR_ARI,2013,5,ARI,-2.332,0.068
2013_06_ARI_SF,2013,6,ARI,0.068,0.202
2013_07_SEA_ARI,2013,7,ARI,0.202,-1.265
2013_08_ATL_ARI,2013,8,ARI,-1.265,1.65
2013_10_HOU_ARI,2013,10,ARI,1.65,0.109
2013_11_ARI_JAX,2013,11,ARI,0.109,-0.117
2013_12_IND_ARI,2013,12,ARI,-0.117,0.01
2013_13_ARI_PHI,2013,13,ARI,0.01,0.035
2013_14_LAR_ARI,2013,14,ARI,0.035,0.914
2013_15_ARI_TEN,2013,15,ARI,0.914,-0.875
2013_16_ARI_SEA,2013,16,ARI,-0.875,1.911
2013_17_SF_ARI,2013,17,ARI,1.911,-0.403
2014_01_LAC_ARI,2014,1,ARI,-0.258,-1.098
2014_02_ARI_NYG,2014,2,ARI,-1.098,-1.281
2014_03_SF_ARI,2014,3,ARI,-1.281,-3.882
2014_05_ARI_DEN,2014,5,ARI,-3.882,-5.003
2014_06_WAS_ARI,2014,6,ARI,-5.003,-6.123
2014_07_ARI_OAK,2014,7,ARI,-6.123,-5.499
2014_08_PHI_ARI,2014,8,ARI,-5.499,-7.333
2014_09_ARI_DAL,2014,9,ARI,-7.333,-7.151
2014_10_LAR_ARI,2014,10,ARI,-7.151,-5.792
2014_11_DET_ARI,2014,11,ARI,-5.792,-4.268
2014_12_ARI_SEA,2014,12,ARI,-4.268,-3.693
2014_13_ARI_ATL,2014,13,ARI,-3.693,-5.653
2014_14_KC_ARI,2014,14,ARI,-5.653,-6.281
2014_15_ARI_LAR,2014,15,ARI,-6.281,-5.681
2014_16_SEA_ARI,2014,16,ARI,-5.681,-9.999
2014_17_ARI_SF,2014,17,ARI,-9.999,-11.283
